COV-19;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-20;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-22-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-23;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-24;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-25;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-26-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
COV-26-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-27;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-28;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-29;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-30-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
COV-30-S2;NAM;Boorgatstatus;Plugged back;Abandoned
COV-30-S3;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-31;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-32-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-33-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-34;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-35;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-36;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-37;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-38;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-39-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-40;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-41;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-42;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-44;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-46-VE-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-48-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-49;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-50-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-54-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-55-S5;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-56;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-57;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-58;NAM;Boorgatstatus;Producing;Producing/Injecting
D12-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
D12-02;Wintershall;Boorgatstatus;Technisch mislukt en sidetracked;Suspended
D12-02-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
D12-03-S1;Wintershall;Boorgatstatus;Closed-in;Suspended
D12-04;Wintershall;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
D12-04-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
D12-05;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
D12-05-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
D12-05-S1;Wintershall;Einddatum;05-06-1997;04-06-1997
D12-A-02-S1;Wintershall;Boorgatstatus;-;Abandoned
D15-01;Phillips Petroleum;Boorgatstatus;Plugged back and sidetracked;Abandoned
D15-01-S1;Phillips Petroleum;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
D15-01-S2;Phillips Petroleum;Boorgatstatus;Plugged and abandoned;Abandoned
D15-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
D15-03;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
D15-04;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
D15-FA-101-S1;Wintershall;Boorgatstatus;Producing;Producing/Injecting
D15-FA-105;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Abandoned
DAL-02-S2;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
DAL-02-S4;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
DAL-02-S5;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
DAL-02-S6;NAM;Boorgatstatus;Producing;Producing/Injecting
DAL-03;NAM;Boorgatstatus;Plugged and abandoned;Suspended
DAL-04;NAM;Boorgatstatus;Producing;Producing/Injecting
DAL-05-S2;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
DAL-05-S5;NAM;Boorgatstatus;-;Producing/Injecting
DAL-06;NAM;Boorgatstatus;Producing;Producing/Injecting
DAL-08;NAM;Boorgatstatus;Water injecting;Closed-in
DAL-09-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
DAL-10;NAM;Boorgatstatus;Producing;Producing/Injecting
DAL-12;NAM;Boorgatstatus;Producing;Producing/Injecting
DAL-13-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
DAL-14;NAM;Boorgatstatus;Producing;Producing/Injecting
DAL-15;NAM;Boorgatstatus;Producing;Producing/Injecting
DB-103;Laura en Vereniging;Aangeleverde Y;323257;323257.04
DED-01;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
DED-02;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
DEL-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEL-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEL-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEL-04;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEL-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEL-05-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEL-06;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEL-07;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEL-08;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEN-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEN-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEW-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEW-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEW-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEW-04;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DEW-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DHV-01;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
DHV-01;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
DHV-01;Vermilion;Boorgatstatus;Producing;Producing/Injecting
DIV-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DIV-02;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
DIV-02;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
DJM-01-S1;Vermilion;Boorgatstatus;Plugged and abandoned;Abandoned
DKK-01;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
DKK-02;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
DKK-04;Tulip Oil Netherlands B.V.;Boorgatstatus;-;Producing/Injecting
DON-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DRM-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
DRM-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DRO-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
DRP-01;Vermilion;Boorgatstatus;Plugged and abandoned;Abandoned
DRT-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DSP-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DSP-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DVD-01;NAM;Boorgatstatus;Producing;Producing/Injecting
DVD-03;NAM;Boorgatstatus;Producing;Producing/Injecting
DVN-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DVZ-01;NAM;Boorgatstatus;Closed-in;Suspended
DWL-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DWL-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
DZL-01;NAM;Boorgatstatus;Closed-in;Observing
DZL-OBS;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
E02-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
E02-02;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
E04-01;Total;Boorgatstatus;Plugged and abandoned;Abandoned
E06-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
E09-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
E09-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
E09-03;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
E10-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
E10-01-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
E10-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
E10-03;Wintershall;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
E10-03-S1;Wintershall;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
E10-03-S2;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
E11-01;Tullow Oil;Huidige eigenaar;Tullow Oil;HALO Exploration and Production Netherlands B.V.
E12-01;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
E12-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
E12-03;Total;Boorgatstatus;Plugged and abandoned;Abandoned
E12-04-S1;Total;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
E13-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
E13-01-S1;Wintershall;Boorgatstatus;Plugged back and sidetracked;Abandoned
E13-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
E14-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
E16-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
E16-02;Total;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
E16-02-S1;Total;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
E16-02-S2;Total;Boorgatstatus;Plugged and abandoned;Abandoned
E16-03;Total;Boorgatstatus;Plugged and abandoned;Abandoned
E16-04;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
E16-05;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
E17-01;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
E17-03;ENGIE E&P Nederland B.V.;Aangeleverde Y;5984485;5984106
E17-03;ENGIE E&P Nederland B.V.;Aangeleverde X;536955;538220
E17-A-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
E17-A-03;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
E17-A-04;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Technisch mislukt en sidetracked
E17-A-04-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Producing/Injecting
E18-01;ARCO;Boorgatstatus;Plugged and abandoned;Abandoned
E18-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
E18-03;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
E18-04;Wintershall;Boorgatstatus;Plugged and abandoned;Suspended
E18-05;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
E18-06;Wintershall;Boorgatstatus;Producing;Producing/Injecting
E18-07;Wintershall;Boorgatstatus;Producing;Producing/Injecting
E18-A-03;Wintershall;Boorgatstatus;Producing;Producing/Injecting
EEM-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EEN-OBS;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EGZ-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
EGZ-01-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
EGZ-01-S2;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
EGZ-01-S3;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EIB-01;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
EKL-01;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-02;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-03;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-04;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-05;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-06;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-07;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-08;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-09;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-10;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-11;NAM;Boorgatstatus;Producing;Producing/Injecting
EKL-12;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-101;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-102;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-103;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-104-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-105;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-107;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-108;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-109;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-110-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-111;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-112;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-201;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-202;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-203;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-204;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-205;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-206;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-207;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-208;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-209;NAM;Boorgatstatus;Producing;Producing/Injecting
EKR-210;NAM;Boorgatstatus;Producing;Producing/Injecting
ELV-101;NAM;Boorgatstatus;Producing;Producing/Injecting
EMC-01;NAM;Boorgatstatus;Unknown;Abandoned
EMC-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMM-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMM-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMM-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMM-04;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMM-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMM-06;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMM-08-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
EMM-09-S1;NAM;Boorgatstatus;Plugged back;Abandoned
EMM-10;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMM-12-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
EMM-13-S3;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMM-15;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
EMM-15-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
EMM-15-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EMO-01;Total;Boorgatstatus;Plugged and abandoned;Abandoned
ENA-01-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
ENA-01-S3;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
ENA-01-S4;NAM;Boorgatstatus;Producing;Producing/Injecting
ENA-02;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
ENA-02-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ENS-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ENS-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EPE-01;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
ERM-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
ERM-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ERW-01;Vermilion;Boorgatstatus;Producing;Producing/Injecting
ERW-02;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
ERW-02;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
ERW-02;Vermilion;Boorgatstatus;-;Producing/Injecting
ESG-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ESV-01;Vermilion;Boorgatstatus;Producing;Abandoned
ESV-01;Vermilion;Mijnbouwwerk Naam;Eesveen;Eesveen-1
ESV-01;Vermilion;Mijnbouwwerk Code;ESV;ESV-1
EVD-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EWM-01-S1;NAM;Boorgatstatus;-;Producing/Injecting
EWM-02-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
EXO-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
EXO-02;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
EXO-02-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
EXO-02-S2;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
EXO-02-S3;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
EXO-02-S4;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F01-01;ARCO;Boorgatstatus;Plugged and abandoned;Abandoned
F02-01;Dana Petroleum Netherlands B.V.;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F02-01-S1;Dana Petroleum Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F02-02;Chevron;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F02-02-S1;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
F02-03;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
F02-04;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
F02-05;Petro-Canada;Boorgatstatus;Plugged and abandoned;Abandoned
F02-07;Petro-Canada;Boorgatstatus;Plugged and abandoned;Abandoned
F02-A-02-S1;Petro-Canada;Boorgatstatus;Producing;Producing/Injecting
F02-A-03;Petro-Canada;Boorgatstatus;Technisch mislukt en sidetracked;Plugged back and sidetracked
F02-A-03-S1;Petro-Canada;Boorgatstatus;Plugged back;Abandoned
F02-A-03-S1;Petro-Canada;Einddatum;07-09-2001;06-09-2001
F02-A-03-S2;Petro-Canada;Boorgatstatus;Producing;Producing/Injecting
F02-A-04;Petro-Canada;Boorgatstatus;Producing;Producing/Injecting
F02-A-05;Petro-Canada;Huidige eigenaar;Petro-Canada;Dana Petroleum Netherlands B.V.
F02-A-05;Petro-Canada;Boorgatstatus;Water injecting;Producing/Injecting
F02-B-01;PCN;Opdrachtgever;PCN;Petro-Canada
F02-B-01;PCN;Huidige eigenaar;PCN;DANA
F02-B-01;PCN;Boorgatstatus;Producing;Producing/Injecting
F03-01;Centrica Production Nederland B.V.;Huidige eigenaar;Centrica Production Nederland B.V.;Spirit Energy
F03-01;Centrica Production Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F03-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F03-03;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F03-04;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F03-05;ENGIE E&P Nederland B.V.;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F03-05-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F03-06;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F03-07;Centrica Production Nederland B.V.;Huidige eigenaar;Centrica Production Nederland B.V.;Spirit Energy
F03-07;Centrica Production Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F03-08;Centrica Production Nederland B.V.;Huidige eigenaar;Centrica Production Nederland B.V.;Spirit Energy
F03-08;Centrica Production Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F03-FA-01;Centrica Production Nederland B.V.;Huidige eigenaar;Centrica Production Nederland B.V.;Spirit Energy
F03-FA-01;Centrica Production Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
F03-FB-102;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
F03-FB-104-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
F03-FB-105-S3;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged back;Abandoned
F03-FB-105-S4;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
F03-FB-106-S1;ENGIE E&P Nederland B.V.;Boorfirma;Paragon Offshore;Ensco Drilling
F03-FB-106-S1;ENGIE E&P Nederland B.V.;Boortoren/-platform;Paragon C463;Ensco 101
F03-FB-106-S1;ENGIE E&P Nederland B.V.;Opdrachtgever;ENGIE;ENGIE E&P Nederland B.V.
F03-FB-106-S1;ENGIE E&P Nederland B.V.;Einddatum;-;07-01-2017
F03-FB-109-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Technisch mislukt en sidetracked
F03-FB-109-S2;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Producing/Injecting
F04-01;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
F04-02-A;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
F04-03;ARCO;Boorgatstatus;Plugged and abandoned;Abandoned
F05-01;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
F05-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
F05-03;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
F05-04;Petro-Canada;Boorgatstatus;Plugged and abandoned;Abandoned
F05-05;Petro-Canada;Boorgatstatus;Plugged and abandoned;Abandoned
F06-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged back and sidetracked;Abandoned
F06-01-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F06-02;Total;Boorgatstatus;Plugged and abandoned;Abandoned
F06-03;Petro-Canada;Boorgatstatus;Plugged and abandoned;Abandoned
F06-04;DANA;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F06-04-S1;DANA;Boorgatstatus;Plugged and abandoned;Abandoned
F07-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
F07-02;Hamilton;Boorgatstatus;Plugged and abandoned;Abandoned
F08-01;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
F08-02;Bates;Boorgatstatus;Plugged and abandoned;Abandoned
F09-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
F09-02;Total;Boorgatstatus;Plugged and abandoned;Abandoned
F09-03;Total;Boorgatstatus;Plugged and abandoned;Abandoned
F10-01;Total;Boorgatstatus;Plugged and abandoned;Abandoned
F10-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
F10-03;Total;Boorgatstatus;Plugged and abandoned;Abandoned
F11-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F11-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F11-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F12-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
F12-02;Chevron;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F12-02-S1;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
F12-03;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
F12-03-S1;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
F12-04;Total;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F12-04-S1;Total;Boorgatstatus;Plugged and abandoned;Abandoned
F13-01;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
F14-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F14-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F14-03;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
F14-04;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
F14-05;Statoil;Boorgatstatus;Plugged and abandoned;Abandoned
F14-06;Statoil;Boorgatstatus;Plugged and abandoned;Abandoned
F14-06-S1;Statoil;Boorgatstatus;Plugged and abandoned;Abandoned
F14-07;Statoil;Boorgatstatus;Plugged and abandoned;Abandoned
F15-01;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
F15-02;Total;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F15-02-S1;Total;Boorgatstatus;Plugged and abandoned;Abandoned
