COC-01;Total;Boorgatstatus;Plugged and abandoned;Abandoned
COR-01;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
COV-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-02;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-04;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-06;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-07;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
COV-07-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
COV-07-S2;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
COV-07-S3;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-08;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
COV-08-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-10-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-11-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-12;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-14;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-15;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
COV-16-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
COV-17-S1;NAM;Boorgatstatus;Plugged and abandoned;Plugged back and sidetracked
COV-18;NAM;Boorgatstatus;Producing;Producing/Injecting
